date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:36	59324/59324	---M--	200	added ('OK')	application/font-woff	etag:%225d55254b-e7bc%22	http://kgd.gov.kz/sites/all/themes/KGD17/fonts/Simple-Line-Icons.woff	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/fonts/Simple-Line-Icons.woff	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/simple-line-icons.css?qi91hl)
20:57:36	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:37%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/css/i/small_icons.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/css/i/small_icons.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/kgd17.css?qi91hl)
20:57:37	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:38%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/images/icon_print.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/icon_print.1d5.delayed	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/kgd17.css?qi91hl)
20:57:37	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:38%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/css/grabbing.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/css/grabbing.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/owl.carousel.css?qi91hl)
20:57:37	4621/4621	---M--	200	added ('OK')	image/png	etag:%225d55254b-120d%22	http://kgd.gov.kz/sites/all/themes/KGD17/images/access-bar.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/access-bar.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/kgd17.css?qi91hl)
20:57:37	14718/14718	---M--	200	added ('OK')	image/png	etag:%225d55254b-397e%22	http://kgd.gov.kz/sites/all/themes/KGD17/images/kgd-logo.png?update_v1	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/images/kgd-logod996.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/kgd17.css?qi91hl)
20:57:37	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:38%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/css/AjaxLoader.gif	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/css/AjaxLoader.gif	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/owl.theme.css?qi91hl)
20:57:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:38%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/logo_spec.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:39%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/icon_search.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/icon_search.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
20:57:38	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2014:57:39%20GMT	http://kgd.gov.kz/sites/all/themes/KGD17/img/arrows.png	D:/kbtu/cybersec/webcopy/kgd/kgd.gov.kz_ru/kgd.gov.kz/sites/all/themes/KGD17/img/arrows.png	(from http://kgd.gov.kz/sites/all/themes/KGD17/css/special.css?qi91hl)
